,directors,direct_rank
90,최동훈,1
26,김한민,2
41,봉준호,3
15,김용화,4
61,이석훈,5
32,류승완,6
80,장훈,7
96,한재림,8
76,이환경,9
100,황동혁,10
48,양우석,11
49,연상호,12
60,이병헌,13
94,추창민,14
67,이재규,15
51,우민호,16
36,박정우,17
13,김성훈,18
57,이계벽,19
0,강윤성,20
78,장재현,21
52,원신연,22
9,김병우,23
19,김주환,24
21,김지운,25
86,조범구,26
22,김지훈,27
7,김광식,28
12,김성수,29
18,김주호,30
37,박훈정,31
1,강형철,32
42,손용호,33
74,이해영,34
98,허진호,35
73,이한,36
89,최국희,37
63,이언희,38
82,정지영,39
71,이준익,40
33,민규동,41
81,정병길,42
27,김현석,43
53,유하,44
65,이원태,45
92,최정열,46
88,창,47
66,이장훈,48
97,한준희,49
29,김홍선,50
85,조규장,51
28,김형주,52
2,강효진,53
30,김휘,54
31,노덕,55
54,육상효,56
40,변성현,57
25,김태윤,58
5,권오광,59
16,김정훈,60
4,곽경택,61
23,김태곤,62
70,이종필,63
87,조정래,64
56,윤재근,65
72,이철하,66
6,기타,67
83,정지우,68
11,"김선, 김곡",69
14,김용완,70
64,이원석,71
95,하정우,72
69,이정호,73
46,신정원,74
10,김봉한,75
68,이정범,76
79,장진,77
50,오기환,78
20,김지영,79
47,안상훈,80
8,김기덕,81
62,이수진,82
91,최승호,83
77,임권택,84
17,김종관,85
93,최진성,86
55,윤가은,87
39,백승화,88
43,신상민,89
44,신수원,90
59,이동은,91
24,김태식,92
35,박정범,93
99,홍상수,94
58,이돈구,95
45,신연식,96
75,이혁종,97
34,박석영,98
3,고봉수,99
38,백승기,100
84,정형석,101
